,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
133,5667,5667,St. Xavier's College Mumbai (Autonomous) - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"5, Mahapalika Marg, Mumbai, Maharashtra 400001, India",['(022) 22620661']
134,5682,5682,Sterling Institute of Management Studies - NCRD - Courses,Maharashtra,Mumbai,http://www.ncrdsims.edu.in/,"Plot No. 93, Sector 19, Near Sea-Woods Railway Station, Nerul (E), Mumbai, Maharashtra 400706, India","['(022) 27702282, 27722290, 27715308 / ', ' 7021568591, 9821469750']"
135,5739,5739,SVKM's Dwarkadas J.Sanghvi College of Engineering - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle, Mumbai, Maharashtra 400056, India","['(022) 42335000, 42335001']"
136,5881,5881,Terna Engineering College - Courses,Maharashtra,Mumbai,https://ternaengg.ac.in/,"Plot No. 12, Sector 22, Opposite Nerul Railway Station, Phase II, Nerul (W), Mumbai, Maharashtra 400706, India","['(022) 61115444 (30 Line) / ', ' 7406515444']"
137,5885,5885,Thadomal Shahani Engineering College - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Advocate Nari Gursahani Marg, 37th Road,(Off Linking Road), TPS III, Bandra (west), Mumbai, Maharashtra 400050, India","['(022) 26495808 / ', ' 9594696888']"
138,5886,5886,Thakur College of Engineering and Technology - Courses,Maharashtra,Mumbai,http://www.tcetmumbai.in/,"A-Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali(E), Mumbai, Maharashtra 400101, India","['(022) 28461891, 67308000, 67308106, 67308107']"
139,5887,5887,Thakur Institute of Career Advancement - TICA - Courses,Maharashtra,Mumbai,http://www.ticamumbai.in/,"First Floor, Thakur engineering Building, 90 ft Road, Off W.E Highway, Thakur Complex, Kandivali (E), Mumbai, Maharashtra 400101, India","['(022) 67308113, 67308277, 67308106, 67308107 / ', ' 9867302051']"
140,5888,5888,"Thakur Institute of Management Studies, Career Development and Research - TIMSCDR - Courses",Maharashtra,Mumbai,https://www.timscdrmumbai.in/,"Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivli (E), Mumbai, Maharashtra 400101, India","['(022) 28840484, 288408491, 67308301, 67308302']"
141,5892,5892,Thakur Ramnarayan College of Arts and Commerce - TRCAC - Courses,Maharashtra,Mumbai,http://trcac.org.in/contactus.php,"Thakur Ramnarayan Educational Campus, S.V. Road, Dahisar (East), Mumbai, Maharashtra 400068, India","['(022) 28281200 / ', ' 9029026799']"
142,5964,5964,Tilak College of Science and Commerce - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Plot No. 131, Sector 28, Vashi, Mumbai, Maharashtra 400705, India",['(022) 27655267']
143,5982,5982,Tolani College of Commerce - TCC - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"150-151, Sher-E-Punjab Society, Guru Gobind Singh Road, Off Mahakali Caves Road, Andheri-East, Mumbai, Maharashtra 400093, India","['(022) 61535455, 61535410 (Principal)']"
