,College_Name,State,City,URL_,Address,Phone_Number
133,Sree Sastha Institute of Engineering and Technology - Courses,Tamil Nadu,Chennai,https://sasthainstitutions.in/,"Sree Sastha Nagar, Chennai - Bangalore Highway, Chembarambakkam, Chennai, Tamil Nadu 600123, India","['(044) 26810114, 26810115, 26810117 / ', ' 7305028155, 7824804015']"
134,Sri Kanyaka Parameswari Arts and Science College for Women - Courses,Tamil Nadu,Chennai,https://skpc.edu.in/,"No. 1, Audiappa Street, Chennai, Tamil Nadu 600001, India","['(044) 25394279 / ', ' 9940068891']"
135,Sri Krishna Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Panapakkam, Near Padappai, Via Tambaram, Chennai, Tamil Nadu 601301, India","['(044) 27145503, 27145506']"
136,Sri Muthukumaran Institute of Technology - SMIT - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Chikkarayapuram (Near Mangadu), Chennai, Tamil Nadu 600069, India","['(044) 66110200, 66110203, 661102047']"
137,Sri Ramanujar Engineering College - Courses,Tamil Nadu,Chennai,http://www.sriramanujar.ac.in/,"Kolapakkam, Vandalu, Chennai, Tamil Nadu 600127, India","['(044) 22751380 / ', ' 9444859455, 9840832639']"
138,Sri Sai Ram Institute of Technology - Courses,Tamil Nadu,Chennai,https://sairamit.edu.in/,"Sai Leo Nagar, West Tambaram, Chennai, Tamil Nadu 600044, India","['(044) 22512111, 22512333, 22512444']"
139,Sri Sairam Engineering College - Courses,Tamil Nadu,Chennai,http://sairam.edu.in/,"Sai Leo Nagar, West Tambaram, Chennai, Tamil Nadu 600044, India",['(044) 22512222 (8 Lines)']
140,Srinivasa Institute of Engineering and Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Parivakkam, Poonamalle Bye Pass Road, Chennai, Tamil Nadu 600056, India","['(044) 26492525, 26493505, 27894110, 27894111']"
141,SRM University - Ramapuram Campus,Universities in Tamil Nadu,Universities in Tamil Nadu,https://srmrmp.edu.in/,"Bharathi Salai, Ramapuram, Chennai, Tamil Nadu 600089, India","['(044) 43923042, 43923133, Toll Free No. 1800-102-1525 / ', ' 8939628771']"
142,SSK College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/15624/jrn-rajasthan-vidyapeeth-university/,"City Center Plaza, Second Floor, Near Anna Statue in Mount Road, No. 7, Annai Salai, Chennai, Tamil Nadu 600002, India","['(044) 28588736 / ', ' 9600072855, 9600072455']"
143,St. Joseph's College (Arts & Science) - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Kundrathur High Road, Kovur, Chennai, Tamil Nadu 600128, India","[' 9444405816, 9444177762, 9444390739']"
144,St. Joseph's College of Engineering - Courses,Tamil Nadu,Chennai,http://www.stjosephs.ac.in,"Old Mamallapuram Road, Semmencherry, Chennai, Tamil Nadu 600119, India","['(044) 24501060, 24501449 / ', ' 9940104881, 9940104882']"
