,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
5561,5561,SS College of Computer and Professional Studies - Courses,Madhya Pradesh,Chhindwara,https://targetstudy.com/university/177/dr-hari-singh-gour-university/,"Seoni Road, Sonakhar, Chhindwara, Madhya Pradesh 480002, India","['(07162) 248505 / ', ' 9407055144, 9826388505']"
5562,5562,SS College of Engineering - Courses,Rajasthan,Udaipur,https://targetstudy.com/university/257/rajasthan-technical-university/,"S.S. Hills, Jhamar Kotra Road, Udaipur, Rajasthan 313001, India",[' 9829179662']
5563,5563,SS Educational Institute - Courses,Uttar Pradesh,Agra,https://targetstudy.com/university/320/dr-bhim-rao-ambedkar-university-agra-university/,"12km. Mile Stone, Agra Jagner Tantpur Road, Village - Gamri, Post Malpura, Agra, Uttar Pradesh 282001, India","[' 9412221585, 9756049049, 8191099400, 8191099401']"
5564,5564,SS Jain Subodh Girls College - Courses,Rajasthan,Jaipur,https://targetstudy.com/university/246/university-of-rajasthan/,"Airport Road, Termimal-1, Budhsinghpura, Sanganer, Jaipur, Rajasthan 302029, India","['(0141) 2793594, 2793595 / ', ' 9462620329, 6350190843']"
5565,5565,SS Jain Subodh P.G. Mahila Mahavidyalaya - Courses,Rajasthan,Jaipur,https://targetstudy.com/university/246/university-of-rajasthan/,"Bhawani Singh Road, Rambagh Circle, Jaipur, Rajasthan 302015, India",['(0141) 2568096']
5566,5566,SSBE Institute of Technology and Management - Courses,Maharashtra,Nanded,http://www.ssbesitm.org,"VIP Road, Nanded, Maharashtra 431602, India","['(02462) 254850, 253471']"
5567,5567,SSD College of Professional Studies - Courses,Punjab,Bathinda,https://targetstudy.com/university/239/punjabi-university/,"Adjoining SSD Krishna Vatika School/Queens Land Resort, Goniana Road, Bathinda, Punjab 151201, India","['(0164) 2922935 / ', ' 7837572200, 7837562200']"
5568,5568,SSD Women's Institute of Technology - Courses,Punjab,Bathinda,http://www.ssdwitbt.org,"Amrik Singh Road, Bathinda, Punjab 151001, India",['(0164) 2253254']
5569,5569,SSDN Technologies - IT Training Institute,Haryana,Gurgaon,http://www.ssdntech.com/,"M-44, 50, Old DLF, Sector 14, Gurgaon, Haryana 122001, India","['(0124) 4018080, 2300095 / ', ' 9999111686']"
5570,5570,SSK College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/15624/jrn-rajasthan-vidyapeeth-university/,"City Center Plaza, Second Floor, Near Anna Statue in Mount Road, No. 7, Annai Salai, Chennai, Tamil Nadu 600002, India","['(044) 28588736 / ', ' 9600072855, 9600072455']"
5571,5571,SSK College of Engineering and Technology - SSKCET - Courses,Tamil Nadu,Coimbatore,https://targetstudy.com/university/265/anna-university-coimbatore/,"NH-47, Palakkad Main Road, Navakkarai, Coimbatore, Tamil Nadu 641105, India","['(0422) 2656740, 2656750']"
5572,5572,SSLD Varshney Engineering College - Courses,Uttar Pradesh,Aligarh,https://targetstudy.com/university/334/gautam-buddh-technical-university/,"13th KM Stone, Aligarh-Kanpur, G.T Road, NH-91, Aligarh, Uttar Pradesh 202001, India",[' 9639008181']
5573,5573,SSM College of Arts and Science - Courses,Tamil Nadu,Namakkal,http://www.ssmcas.ac.in/,"NH-47, Salem Bye-Pass Road, Valaiyakaranoor, Komarapalayam, Namakkal, Tamil Nadu 638183, India","['(04288) 293994, 293773 / ', ' 9790016645, 8754021121']"
5574,5574,SSM College of Engineering - Courses,Tamil Nadu,Namakkal,http://www.ssmce.ac.in/,"NH-47, Salem Main Road, Kumarapalayam, Namakkal, Tamil Nadu 638183, India","['(04288) 267702, 267703, 265704 / ', ' 9894060750, 8754021121']"
