,LineItem Name,Total Order
366,MitSonic 20 Inches (53 cm) FULL HD Gorilla Glass LED TV,6
379,Sony PlayStation PS2 Gaming Console PS2 150 GB Hard Disk With 50 Games Preloaded(Black),12
380,Boat Rockerz 530 Bluetooth Headphone with Mic (Carbon Black),120
391,Web Design & Development Internship Training Program,7
393,Vmax Voyager HX756 Drones Without Camera,2
394,Data Science Internship Training Program,14
421,Zebronics External TV Tuner Card TL1010,52
423,Flying Avengers Hero Induction Control helicopter,1
425,QUECHUA Ultra-Compact Backpack10-Litre - Black,6
427,HX770 V-Max Aircraft Drone,20
432,Preethi Armour 1.0L Electric Kettle,1
436,"Avengers Captain America Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera",1
444,Zebronics ZEB-U740 UPS 600VA,24
448,"Avengers Captain America Four Axis Aircraft Drone with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera",1
450,Toy Gundam Robot with Gun (Red),4
455,Vogue Girl Beautiful Fashion Doll,1
457,Sony On-Ear Headphone With Mic – MS177 (Black),1
462,REALME RMA 950 BT EXTRA BASS Wireless Bluetooth Headphone,1
466,Realme Buds 3 Wired EARPHONE(Black),2
468,Mi Neckband Bluetooth Headset with Mic (Black),45
477,JBL Tempo On-Ear Headphone With Mic – J55iB (Black),48
479,Realme Buds Wireless BT-R3 BlueTooth Headphone(Black),1
483,JBL SH12 WIRELESS Bluetooth HEADPHONE,1
490,SYSKA Wireless EARPHONES H-15 BlueTooth Headphone(Black),1
508,HX-713 Remote Control Helicopter,61
510,"Samsung Galaxy M01 Core 2GB RAM with 32GB Storage (Black,Blue,Red)",1
517,Casio HR-100RC Printing Calculator,2
523,ZEBRONICS All-In-One USB Card Reader,2
545,Preethi STEELE SUPREME 750W 4 JAR MIXER GRINDER,1
565,SAMSUNG Travel Adapter White Battery Charger,3
577,Zebronics 18.5 inch Full HD LED Monitor,3
588,Boat Rockerz 335 STEREO EARPHONES (Black/Gold),18
594,S52 Durable King Drone No Camera,7
595,Zebion Ergo PS2 USB Keyboard (Black and Red Keys),2
606,HX708 Remote Control Helicopter,10
615,Ui Smart 5605N keypad phone Dual Sim(Black),1
711,OnePlus Bullets Wireless3 BlueTooth Headphone(Black),1
718,QUECHUA Sleeping Bag Arpenaz 20°C - Blue,1
721,Boat BassHeads 225 Super Extra Bass Headphone (Black),2
739,Zebronics Card Reader VR BOX Special Combo,3
818,Preethi Trendy Plus Induction Cooktop,2
856,Wedding Doll Toy,1
864,JBL SH12 WIRELESS HEADPHONE,1
879,Cash On Delivery Services,2
880,Preethi Drip cafe Coffee Maker,2
887,Realme R-260 WIRE LES HEADPHONES,1
893,Dell KB216 Multimedia USB Wired Keyboard,15
904,Drone Quadcopter 2.4G 6-Channel Without Camera,23
913,Casio MJ-12SA Desktop Calculator -Black,1
927,Boat Rockerz 225 Metal Wireless Bluetooth Headset with Mic (Black),2
950,Combo Meal Chicken Biriyani (Chennai),1
1012,BOROLINE ANTISEPTIC CREAM Combo,2
1077,MI 10000mAH Li-Polymer Power Bank (Black),4
1082,Magic Tracks Bend Flex & Glow Racetrack with LED Flashing Race Cars Battery Operated,3
1292,Ultra Thin Keyboard Cover for Laptop Keyboard,1
1494,Laptop Spare Parts,2
1508,Preethi X Pro Duo 1300 Watts Mixer Grinder Color(Purple),1
1513,Chicken Pakora-200Gm (Chennai),2
1568,Sales and Marketing Internship Training Course,1
1654,Zebion Gamepad,10
1698,Sony PlayStation 3 Console Slim 320 GB (Black),41
1714,QUECHUA Travel Multi-Compartment Pouch - Brown,2
1801,Mobile Spare Part,8
1853,Sony PlayStation PS2 with in-built DVD Player (Black),14
1868,Cheetah Construction Truck with Flash Excavator,1
1871,Sony PlayStation 2 Gaming Console PS2 150 GB Hard Disk With 50 Games Preloaded(Black),117
1887,Zebronics H-100HM Headphone with Mic,13
1909,Navigator Quadcopter Remote Control Drone,4
1914,QY66 D1 Drone - 6 Axis Gyro RC Quadcopter - No camera,4
1938,Sony PS4 Slim 1TB Console 1000 GB (Black),3
1972,Combo Set of 6 Pull Back Toy Car Small,1
2009,3 Wheeled Scooter For Kids,2
2023,Digital Signature Certificate (DSC) Class 2 valid for 2 Years with USB Device,2
2109,Preethi Essence Juicer,3
2136,Celkon C107 Black,2
2207,Nokia BH-103 Bluetooth Stereo Headset with Mic,25
2239,Mitsun MIT2210 20 Inches (51cm) HD Ready Ultra Slim Gorilla Glass LED TV,2
2330,Mitsonic 24 Inches (60 cm) Full HD Gorilla Glass LED TV,1
2364,Sony PlayStation 2 Gaming Console PS2 150 GB Hard Disk With 50 Games(Black),5
2379,DOMYOS S500 Boys Gym Sports Half-Sleeved T-Shirt (Grey),2
2384,Sony PlayStation 2 Console(PS2 150 GB) With 50 Games,3
2386,KIPSTA Light Sports Bag 15 Litres - Blue,1
2389,Captain America 2.4GHz RC Quad-copter Drone,1
2393,Vmax Voyager HX756 Drones,12
2394,Barbie Doll Toy,11
2397,VMax HX763 Vision Drone 2.4GHz RC Quad-copter Headless Mode One Key Features 6 Axis Stabilization System Gyro 4 Channel,1
2399,The Amazing Spider Man Q series 2.4GHz RC Quad-copter Drone,9
2408,QUECHUA Laptop Bag,6
2409,VMax HX763 Vision Drone,9
2413,VR BOX Virtual Reality Glasses Headset 2.0,19
2417,Zebronics ZEB-VR Virtual Reality Headset VR BOX,10
2418,Bluedio i4 Stereo Bluetooth Earphone,11
2419,Sony PlayStation 2 Console(PS2) With 50 Games,4
2445,CHOTTA BHEEM Mini English learning laptop,2
2453,Zebronics ZEB-EM750 Headphone with Mic,1
